RI,Na,Mg,Al,Si,K,Ca,Ba,Fe,RI*Na,RI*Mg,RI*Al,RI*Si,RI*K,RI*Ca,RI*Ba,RI*Fe,Na*Mg,Na*Al,Na*Si,Na*K,Na*Ca,Na*Ba,Na*Fe,Mg*Al,Mg*Si,Mg*K,Mg*Ca,Mg*Ba,Mg*Fe,Al*Si,Al*K,Al*Ca,Al*Ba,Al*Fe,Si*K,Si*Ca,Si*Ba,Si*Fe,K*Ca,K*Ba,K*Fe,Ca*Ba,Ca*Fe,Ba*Fe
1.52101,13.64,4.49,1.1,71.78,0.06,8.75,0.0,0.0,20.746576400000002,6.8293349,1.673111,109.1780978,0.0912606,13.3088375,0.0,0.0,61.24360000000001,15.004000000000001,979.0792,0.8184,119.35000000000001,0.0,0.0,4.939000000000001,322.29220000000004,0.26940000000000003,39.2875,0.0,0.0,78.95800000000001,0.066,9.625,0.0,0.0,4.3068,628.075,0.0,0.0,0.525,0.0,0.0,0.0,0.0,0.0
1.51761,13.89,3.6,1.36,72.73,0.48,7.83,0.0,0.0,21.0796029,5.4633959999999995,2.0639496,110.3757753,0.7284527999999999,11.8828863,0.0,0.0,50.004000000000005,18.890400000000003,1010.2197000000001,6.6672,108.7587,0.0,0.0,4.896000000000001,261.82800000000003,1.728,28.188000000000002,0.0,0.0,98.91280000000002,0.6528,10.648800000000001,0.0,0.0,34.9104,569.4759,0.0,0.0,3.7584,0.0,0.0,0.0,0.0,0.0
1.51618,13.53,3.55,1.54,72.99,0.39,7.78,0.0,0.0,20.513915400000002,5.382439,2.3349172,110.6659782,0.5913102,11.795880400000001,0.0,0.0,48.031499999999994,20.836199999999998,987.5546999999999,5.2767,105.2634,0.0,0.0,5.467,259.11449999999996,1.3845,27.619,0.0,0.0,112.40459999999999,0.6006,11.981200000000001,0.0,0.0,28.466099999999997,567.8622,0.0,0.0,3.0342000000000002,0.0,0.0,0.0,0.0,0.0
1.51766,13.21,3.69,1.29,72.61,0.57,8.22,0.0,0.0,20.048288600000003,5.6001654,1.9577814,110.1972926,0.8650661999999999,12.475165200000001,0.0,0.0,48.7449,17.0409,959.1781000000001,7.5297,108.58620000000002,0.0,0.0,4.7601,267.9309,2.1033,30.3318,0.0,0.0,93.6669,0.7353,10.603800000000001,0.0,0.0,41.387699999999995,596.8542,0.0,0.0,4.6854,0.0,0.0,0.0,0.0,0.0
1.51742,13.27,3.62,1.24,73.08,0.55,8.07,0.0,0.0,20.1361634,5.4930604,1.8816008,110.8930536,0.834581,12.2455794,0.0,0.0,48.0374,16.4548,969.7715999999999,7.298500000000001,107.0889,0.0,0.0,4.4888,264.5496,1.9910000000000003,29.213400000000004,0.0,0.0,90.61919999999999,0.682,10.0068,0.0,0.0,40.194,589.7556,0.0,0.0,4.4385,0.0,0.0,0.0,0.0,0.0
1.51596,12.79,3.61,1.62,72.97,0.64,8.07,0.0,0.26,19.389128399999997,5.4726156,2.4558552000000002,110.61960119999999,0.9702144,12.2337972,0.0,0.3941496,46.171899999999994,20.7198,933.2862999999999,8.185599999999999,103.2153,0.0,3.3253999999999997,5.8482,263.4217,2.3104,29.1327,0.0,0.9386,118.21140000000001,1.0368000000000002,13.073400000000001,0.0,0.4212,46.7008,588.8679,0.0,18.9722,5.1648000000000005,0.0,0.16640000000000002,0.0,2.0982000000000003,0.0
1.51743,13.3,3.6,1.14,73.09,0.58,8.17,0.0,0.0,20.181819,5.462748,1.7298702,110.90895870000001,0.8801093999999999,12.3974031,0.0,0.0,47.88,15.161999999999999,972.0970000000001,7.7139999999999995,108.661,0.0,0.0,4.104,263.124,2.088,29.412,0.0,0.0,83.3226,0.6611999999999999,9.313799999999999,0.0,0.0,42.3922,597.1453,0.0,0.0,4.7386,0.0,0.0,0.0,0.0,0.0
1.51756,13.15,3.61,1.05,73.24,0.57,8.24,0.0,0.0,19.955914,5.4783916,1.5934380000000001,111.1460944,0.8650091999999999,12.5046944,0.0,0.0,47.4715,13.807500000000001,963.106,7.4955,108.35600000000001,0.0,0.0,3.7905,264.39639999999997,2.0576999999999996,29.7464,0.0,0.0,76.902,0.5984999999999999,8.652000000000001,0.0,0.0,41.74679999999999,603.4975999999999,0.0,0.0,4.6968,0.0,0.0,0.0,0.0,0.0
1.51918,14.04,3.58,1.37,72.08,0.56,8.3,0.0,0.0,21.3292872,5.4386644,2.0812766000000003,109.50249439999999,0.8507408000000001,12.609194,0.0,0.0,50.2632,19.2348,1012.0031999999999,7.8624,116.532,0.0,0.0,4.9046,258.0464,2.0048000000000004,29.714000000000002,0.0,0.0,98.7496,0.7672000000000001,11.371000000000002,0.0,0.0,40.3648,598.264,0.0,0.0,4.648000000000001,0.0,0.0,0.0,0.0,0.0
1.51755,13.0,3.6,1.36,72.99,0.57,8.4,0.0,0.11,19.72815,5.46318,2.0638680000000003,110.76597449999998,0.8650034999999999,12.74742,0.0,0.1669305,46.800000000000004,17.68,948.8699999999999,7.409999999999999,109.2,0.0,1.43,4.896000000000001,262.764,2.052,30.240000000000002,0.0,0.396,99.2664,0.7752,11.424000000000001,0.0,0.1496,41.604299999999995,613.116,0.0,8.0289,4.787999999999999,0.0,0.06269999999999999,0.0,0.924,0.0
